genbank_id,sequence_id,organism,country,host,collection_date,sex,lat_lon,note
OQ302737,KCP_2020_00061,Tetramesa sp. 4,South Africa: Rietspruit area,Eragrostis curvula,2020,f,28.395 S 27.262 E,
OQ302738,KCP_2020_00062,Tetramesa sp. 4,South Africa: Rietspruit area,Eragrostis curvula,2020,f,28.452 S 27.333 E,
OQ302739,KCP_2020_00063,Tetramesa sp. 20,South Africa: Rietspruit area,Eragrostis pla,2020,m,28.451 S 27.335 E,
OQ302740,KCP_2020_00075,Tetramesa sp. 16,South Africa: Rietspruit area,Eragrostis tef,2021,f,28.434 S 27.354 E,
OQ302741,KCP_2020_00076,Tetramesa sp. 16,South Africa: Rietspruit area,Eragrostis tef,2021,f,28.434 S 27.354 E,
OQ302742,KCP_2020_00077,Tetramesa sp. 16,South Africa: Rietspruit area,Eragrostis tef,2021,m,28.434 S 27.354 E,
OQ302743,KCP_2020_00079,Tetramesa sp. 16,South Africa: Rietspruit area,Eragrostis tef,2021,f,28.434 S 27.354 E,
OQ302744,KCP_2020_00085,Tetramesa sp. 18,South Africa: Rietspruit area,Eragrostis gummiflua,2021,m,28.442 S 27.362 E,
OQ302745,KCP_2020_00089,Tetramesa sp. 18,South Africa: Rietspruit area,Eragrostis gummiflua,2021,f,28.442 S 27.362 E,
OQ302746,KCP_2020_00090,Tetramesa sp. 18,South Africa: Rietspruit area,Eragrostis gummiflua,2021,f,28.442 S 27.362 E,
OQ302747,KCP_2020_00092,Tetramesa sp. 17,South Africa: Rietspruit area,Eragrostis gummiflua,2021,f,28.442 S 27.362 E,
OQ302748,KCP_2020_00096,Tetramesa sp. 19,South Africa: Rietspruit area,Eragrostis lehmannia,2021,f,28.442 S 27.362 E,
OQ302749,KCP_2020_00140,Tetramesa sp. 18,South Africa: Rietspruit area,Eragrostis gummiflua,2021,m,28.442 S 27.362 E,
OQ302750,SPY_KZN_62,Tetramesa sp. 2,"South Africa: Westwood Mall, Durban",Sporobolus pyramidalis,2017,,29.829 S 30.951 E,
OQ302751,GFS_2021_00741,Tetramesa sp. 9,"South Africa: Khuleni Powerlines, Hluhluwe",Cynodon dactylon,2021,f,28.033 S 32.283 E,
OQ302508,GFS_PHI_1103,Tetramesa sp. 4,"Australia: Kuma, NR",Eragrostis curvula,2022,,36.24015 S 149.16047 E,
OQ302509,GFS_PHI_1119,Tetramesa sp. 4,Australia: Coomba,Eragrostis curvula,2022,,36.24015 S 149.16047 E,
OQ302510,GFS_PHI_1153,Tetramesa sp. 4,"Australia: Kuma, NR",Eragrostis curvula,2022,,36.24015 S 149.16047 E,
OQ302511,GFS_PHI_1197,Tetramesa sp. 4,"Australia: Kuma, NR",Eragrostis curvula,2022,,36.24015 S 149.16047 E,
OQ302512,GFS_PHI_1420,Tetramesa sp. 4,"Australia: Kuma, NR",Eragrostis curvula,2022,,36.24015 S 149.16047 E,
OQ302513,GFS_PHI_1445,Tetramesa sp. 4,Australia,Eragrostis curvula,2022,,36.24015 S 149.16047 E,
OQ302752,GFS_PHI_1156,Tetramesa,South Africa: Phinda,Eragrostis rigidior,2022,,27.89 S 32.2097 E,
OQ302753,GFS_PHI_1202,Tetramesa,South Africa: Nlhozi Gate,Hyparrhenia filipendula,2022,,,
OQ302754,GFS_PHI_1467,Tetramesa,South Africa: Phinda,Eragrostis rigidior,2022,,27.89 S 32.2097 E,
OQ302755,LMY_Ep_01,Tetramesa,South Africa: KwaZulu_Natal,Eustachys paspaloides,2022,,29.7433 S 30.664 E,
OQ302756,LMY_Ep_03,Tetramesa,South Africa: KwaZulu_Natal,Eustachys paspaloides,2022,,29.7433 S 30.664 E,
OQ302757,LMY_Ep_04,Tetramesa,South Africa: KwaZulu_Natal,Eustachys paspaloides,2022,,29.7433 S 30.664 E,
OQ302758,LMY_Ep_06,Tetramesa,South Africa: KwaZulu_Natal,Eustachys paspaloides,2022,,29.7433 S 30.664 E,
OQ302759,LMY_Ep_07,Tetramesa,South Africa: KwaZulu_Natal,Eustachys paspaloides,2022,,29.7433 S 30.664 E,
OQ302760,LMY_Ep_08,Tetramesa,South Africa: KwaZulu_Natal,Eustachys paspaloides,2022,,29.7433 S 30.664 E,
MT549821,GFS_2019_00019,Tetramesa sp. 4,"South Africa, Burnt Kraal, Grahamstown, Eastern Cape",Eragrostis curvula,2019,,33.2817 S 26.4864 E,
MT549822,GFS_2019_00030,Tetramesa sp. 5,"South Africa, Baakens River (Targetkloof), Port Elizabeth, Eastern Cape",Eragrostis curvula,2019,,33.9686 S 25.5923 E,
MT549823,GFS_2019_00035,Tetramesa sp. 4,"South Africa, Baakens River (Targetkloof), Port Elizabeth, Eastern Cape",Eragrostis curvula,2019,,33.9686 S 25.5923 E,
MT549824,GFS_2019_00039,Tetramesa sp. 4,"South Africa, Burnt Kraal, Grahamstown, Eastern Cape",Eragrostis curvula,2019,,33.2817 S 26.4864 E,
MT549825,GFS_2019_00041,Tetramesa sp. 4,"South Africa, Burnt Kraal, Grahamstown, Eastern Cape",Eragrostis curvula,2019,,33.2817 S 26.4864 E,
MT549826,GFS_2019_00043,Tetramesa sp. 5,"South Africa, Glen Muir, East London, Eastern Cape",Eragrostis curvula,2019,,32.8768 S 28.095 E,
MT549827,GFS_2019_00069,Tetramesa sp. 4,"South Africa, Burnt Kraal, Grahamstown, Eastern Cape",Eragrostis curvula,2019,,33.2817 S 26.4864 E,
MT549828,GFS_2020_00015,Tetramesa sp. 4,"South Africa, Baakens River (Targetkloof), Port Elizabeth, Eastern Cape",Eragrostis curvula,2020,,33.9686 S 25.5923 E,
MT549829,GFS_2020_00053,Tetramesa sp. 1,"South Africa, Valhalla, East London, Eastern Cape",Sporobolus pyramidalis,2020,,32.8719 S 28.0838 E,
MT549830,GFS_2020_00055,Tetramesa sp. 4,"South Africa, Baakens River (Targetkloof), Port Elizabeth, Eastern Cape",Eragrostis curvula,2020,,33.9686 S 25.5923 E,
MT549831,GFS_2020_00079,Tetramesa sp. 5,"South Africa, Baakens River (Targetkloof), Port Elizabeth, Eastern Cape",Eragrostis curvula,2020,,33.9686 S 25.5923 E,
MT549832,GFS_2020_00083,Tetramesa sp. 5,"South Africa, Baakens River (Targetkloof), Port Elizabeth, Eastern Cape",Eragrostis curvula,2020,,33.9686 S 25.5923 E,
MT549833,GFS_2020_00085,Tetramesa sp. 5,"South Africa, Baakens River (Targetkloof), Port Elizabeth, Eastern Cape",Eragrostis curvula,2020,m,33.9686 S 25.5923 E,
MT549834,GFS_2020_00091,Tetramesa sp. 4,"South Africa, Baakens River (Targetkloof), Port Elizabeth, Eastern Cape",Eragrostis curvula,2020,f,33.9686 S 25.5923 E,
MT549835,GFS_2020_00111,Tetramesa sp. 5,"South Africa, Baakens River (Targetkloof), Port Elizabeth, Eastern Cape",Eragrostis curvula,2020,f,33.9686 S 25.5923 E,
MT549836,GFS_2020_00116,Tetramesa sp. 1,"South Africa, Valhalla, East London, Eastern Cape",Sporobolus pyramidalis,2020,f,32.8719 S 28.0838 E,
MT549837,GFS_2020_00120,Tetramesa sp. 5,"South Africa, Baakens River (Targetkloof), Port Elizabeth, Eastern Cape",Eragrostis curvula,2020,f,33.9686 S 25.5923 E,
MT549838,GFS_2020_00130,Tetramesa sp. 4,"South Africa, Baakens River (Targetkloof), Port Elizabeth, Eastern Cape",Eragrostis curvula,2020,f,33.9686 S 25.5923 E,
MT549839,GFS_2020_00152,Tetramesa sp. 1,"South Africa, Valhalla, East London, Eastern Cape",Sporobolus pyramidalis,2020,m,32.8719 S 28.0838 E,
